,champs,wins,dates
0, Braum ,game-summary-victory,11/11/2018
1, Braum ,game-summary-victory,11/10/2018
2, Braum ,game-summary-victory,11/10/2018
3, Braum ,game-summary-victory,11/9/2018
4, Braum ,game-summary-victory,11/9/2018
5, Braum ,game-summary-victory,11/9/2018
6, Tahm Kench ,game-summary-victory,11/8/2018
7, Braum ,game-summary-victory,11/8/2018
8, Braum ,game-summary-victory,11/8/2018
9, Braum ,game-summary-defeat,11/8/2018
10, Tahm Kench ,game-summary-defeat,11/8/2018
11, Braum ,game-summary-victory,11/6/2018
12, Tahm Kench ,game-summary-victory,11/5/2018
13, Braum ,game-summary-victory,11/5/2018
14, Tahm Kench ,game-summary-victory,11/5/2018
15, Braum ,game-summary-victory,11/4/2018
16, Braum ,game-summary-victory,11/4/2018
17, Tahm Kench ,game-summary-defeat,11/3/2018
18, Braum ,game-summary-victory,11/3/2018
19, Braum ,game-summary-victory,11/3/2018
20, Braum ,game-summary-defeat,11/3/2018
21, Braum ,game-summary-earlysurrender,11/3/2018
22, Tahm Kench ,game-summary-victory,11/3/2018
23, Braum ,game-summary-victory,11/3/2018
24, Braum ,game-summary-victory,11/3/2018
25, Braum ,game-summary-victory,11/3/2018
26, Tahm Kench ,game-summary-defeat,11/3/2018
27, Leona ,game-summary-victory,11/3/2018
28, Braum ,game-summary-defeat,11/2/2018
29, Braum ,game-summary-victory,11/2/2018
30, Braum ,game-summary-victory,11/2/2018
31, Tahm Kench ,game-summary-victory,11/1/2018
32, Tahm Kench ,game-summary-defeat,11/1/2018
33, Braum ,game-summary-victory,11/1/2018
34, Tahm Kench ,game-summary-victory,11/1/2018
35, Braum ,game-summary-victory,11/1/2018
36, Braum ,game-summary-victory,11/1/2018
37, Tahm Kench ,game-summary-victory,10/30/2018
38, Nunu & Willump ,game-summary-defeat,10/30/2018
39, Braum ,game-summary-victory,10/30/2018
40, Braum ,game-summary-victory,10/30/2018
41, Taric ,game-summary-defeat,10/29/2018
42, Nunu & Willump ,game-summary-defeat,10/28/2018
43, Nunu & Willump ,game-summary-earlysurrender,10/28/2018
44, Braum ,game-summary-defeat,10/28/2018
45, Tahm Kench ,game-summary-victory,10/27/2018
46, Tahm Kench ,game-summary-victory,10/27/2018
47, Tahm Kench ,game-summary-defeat,10/27/2018
48, Tahm Kench ,game-summary-victory,10/27/2018
49, Tahm Kench ,game-summary-defeat,10/27/2018
50, Braum ,game-summary-victory,10/27/2018
51, Tahm Kench ,game-summary-victory,10/27/2018
52, Vayne ,game-summary-victory,10/27/2018
53, Tahm Kench ,game-summary-victory,10/27/2018
54, Tahm Kench ,game-summary-defeat,10/27/2018
55, Tahm Kench ,game-summary-defeat,10/27/2018
56, Tahm Kench ,game-summary-victory,10/27/2018
57, Tahm Kench ,game-summary-victory,10/27/2018
58, Tahm Kench ,game-summary-defeat,10/26/2018
59, Tahm Kench ,game-summary-victory,10/25/2018
60, Tahm Kench ,game-summary-defeat,10/25/2018
61, Tahm Kench ,game-summary-victory,10/25/2018
62, Tahm Kench ,game-summary-defeat,10/24/2018
63, Tahm Kench ,game-summary-victory,10/24/2018
64, Tahm Kench ,game-summary-earlysurrender,10/24/2018
65, Tahm Kench ,game-summary-victory,10/23/2018
66, Tahm Kench ,game-summary-victory,10/23/2018
67, Tahm Kench ,game-summary-victory,10/23/2018
68, Tahm Kench ,game-summary-defeat,10/23/2018
69, Tahm Kench ,game-summary-defeat,10/22/2018
70, Tahm Kench ,game-summary-victory,10/22/2018
71, Tahm Kench ,game-summary-victory,10/22/2018
72, Tahm Kench ,game-summary-victory,10/21/2018
73, Lulu ,game-summary-defeat,10/21/2018
74, Lulu ,game-summary-defeat,10/21/2018
75, Tahm Kench ,game-summary-defeat,10/21/2018
76, Tahm Kench ,game-summary-defeat,10/21/2018
77, Tahm Kench ,game-summary-defeat,10/21/2018
78, Tahm Kench ,game-summary-defeat,10/20/2018
79, Lulu ,game-summary-victory,10/20/2018
80, Lulu ,game-summary-victory,10/20/2018
81, Tahm Kench ,game-summary-defeat,10/20/2018
82, Tahm Kench ,game-summary-victory,10/20/2018
83, Tahm Kench ,game-summary-victory,10/20/2018
84, Lulu ,game-summary-defeat,10/20/2018
85, Tahm Kench ,game-summary-victory,10/20/2018
86, Lulu ,game-summary-victory,10/19/2018
87, Lulu ,game-summary-victory,10/19/2018
88, Lulu ,game-summary-victory,10/19/2018
89, Lulu ,game-summary-victory,10/18/2018
90, Tahm Kench ,game-summary-defeat,10/18/2018
91, Tahm Kench ,game-summary-victory,10/18/2018
92, Tahm Kench ,game-summary-earlysurrender,10/18/2018
93, Leona ,game-summary-defeat,10/17/2018
94, Nunu & Willump ,game-summary-defeat,10/17/2018
95, Tahm Kench ,game-summary-defeat,10/17/2018
96, Nami ,game-summary-victory,10/16/2018
97, Lulu ,game-summary-victory,10/16/2018
98, Tahm Kench ,game-summary-defeat,10/16/2018
99, Lulu ,game-summary-victory,10/15/2018
100, Tahm Kench ,game-summary-victory,10/15/2018
101, Tahm Kench ,game-summary-victory,10/15/2018
102, Tahm Kench ,game-summary-victory,10/15/2018
103, Tahm Kench ,game-summary-victory,10/14/2018
104, Nunu & Willump ,game-summary-victory,10/7/2018
105, Nunu & Willump ,game-summary-victory,10/7/2018
106, Nunu & Willump ,game-summary-victory,10/7/2018
107, Nunu & Willump ,game-summary-earlysurrender,10/7/2018
108, Nunu & Willump ,game-summary-defeat,10/7/2018
109, Nunu & Willump ,game-summary-defeat,10/7/2018
110, Nunu & Willump ,game-summary-defeat,10/7/2018
